@relation P__Fall13_Perceptron_enron1_train

@attribute text string
@attribute @@class@@ {arff,ham,spam}

@data
'Subject: meter 1431 - nov 1999\r\ndaren -\r\ncould you please resolve this issue for howard ? i will be out of the office\r\nthe next two days .\r\nwhen this is done , please let george know . thanks .\r\naimee\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 12 / 15 / 99 01 : 27 pm\r\n- - - - - - - - - - - - - - - - - - - - - - - - - - -\r\nhoward b camp\r\n12 / 15 / 99 01 : 01 pm\r\nto : aimee lannou / hou / ect @ ect\r\ncc : daren j farmer / hou / ect @ ect , stacey neuweiler / hou / ect @ ect , mary m\r\nsmith / hou / ect @ ect\r\nsubject : meter 1431 - nov 1999\r\naimee ,\r\nsitara deal 92943 for meter 1431 has expired on oct 31 , 1999 . settlements\r\nis unable to draft an invoice for this deal . this deal either needs to be\r\nextended or a new deal needs to be set up . please let me know when this is\r\nresolved . we need it resolved by friday , dec 17 .\r\nhc',ham
'Subject: meter 74 , december bridgeback error\r\ndaren :\r\ni have an error for transco bammel for that 20 . 0 / day on days 23 through 27 -\r\ndo you change the volumes as they are sent back ?\r\nthe volumes are :\r\n23 133\r\n24 20783\r\n25 20738\r\n26 20787\r\n27 20123\r\nthanks !\r\ncharlotte\r\nps i have to be clear by noon tomorrow . . . . . . . . . . . . . . . . . . . . . . . . .',ham
'Subject: january setup - - mops\r\nspecifically , meter 1373 has several deals set up and 6 of them are ranked\r\n10 . these will not allocate properly as you know . suggest you double check\r\nall the industrials to ensure they are ranked correctly . january will then\r\nneed to be re - nomed .\r\nken',ham
'Subject: re : c & e operating , 11 / 99 production\r\nset out below is information regarding 660 mmbtu produced november 29 and 30\r\nat meter 9813 . please create a sitara record for this production at your\r\nearliest convenience . the price is if / hsc less $ 0 . 10 . the contract number\r\nis 96016884 . a confirmation is not necessary .\r\nplease call if i can be of any additional assistance .\r\ndonald\r\nx 37008\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by donald p reinhardt / hou / ect on 01 / 04 / 2000\r\n04 : 45 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\nfrom : stephanie gomes 01 / 04 / 2000 08 : 09 am\r\nto : donald p reinhardt / hou / ect @ ect\r\ncc :\r\nsubject : re : c & e operating , 11 / 99 production\r\ndonald , please see julie \' s email below . this is the deal that was not in the\r\nsystem that i had asked you about . please let me know if there is something\r\nelse that i need to do .\r\nthanks , stephanie ( 3 - 6004 )\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by stephanie gomes / hou / ect on 01 / 04 / 2000\r\n08 : 06 am - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\njulie meyers\r\n01 / 03 / 2000 09 : 08 am\r\nto : stephanie gomes / hou / ect @ ect\r\ncc :\r\nsubject : re : c & e operating , 11 / 99 production\r\ni \' m not sure if you got this resolved , but donald will need to have someone\r\nput a deal in , either a spot or has it been firmed up .\r\njulie\r\nfrom : stephanie gomes 12 / 28 / 99 08 : 45 am\r\nto : julie meyers / hou / ect @ ect\r\ncc :\r\nsubject : c & e operating , 11 / 99 production\r\nhi julie , i have a question and i wasn \' t sure of who to start with . i have a\r\nnew meter for c & e operating , meter # 0989813 that started up nov . 29 . i have\r\na volume statement that confirms that volume did flow the 29 th and 30 th , a\r\ntotal of 660 mmbtu . the problem is there is nothing in the system for meter #\r\n9813 for 11 / 99 production . i looked in sitara , ( sitara # 132030 ) and the\r\ndeal starts for 12 / 99 production . i checked with donald to make sure and\r\nhe says that the meter did start up 11 / 29 and the price is hsc less $ . 10 . in\r\norder to get this deal into the system , who do i need to talk to ? ? ?\r\nthanks , stephanie ( 3 - 6004 )',ham
'Subject: expense\r\nplease notify me if you have any outstanding items that should be expensed .\r\nall invoices ( mobile , pager , etc . ) and travel arrangements should be passed\r\non to me as well .\r\nmany thanks ,\r\nbarbara lewis\r\nx 35085 ( bl / 635 )',ham
'Subject: revised 7 th noms\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 06 / 2000\r\n11 : 20 am - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\nroyal _ b _ edmondson @ reliantenergy . com on 01 / 06 / 2000 10 : 58 : 31 am\r\nto : ami chokshi / corp / enron @ enron\r\ncc :\r\nsubject : revised 7 th noms\r\n( see attached file : egmnom - jan . xls ) love ya . . . . . . miss ya . . . . .\r\n- egmnom - jan . xls',ham
'Subject: re : request for application report list\r\nthis is a follow up to the earlier email i forwarded regarding ces historical\r\ninformation . note the deadline of 1 / 15 , i believe that should be friday 1 / 14\r\nso i need your responses by thursday 1 / 13 .\r\nplease fill out the spreadsheet for each area and forward back to me . i will\r\nconsolidate our responses from a logistics perspective . lets have them add\r\neverything they need and if challenged we can re - review later .\r\nthanks - bob\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by robert superty / hou / ect on 01 / 06 / 2000\r\n08 : 24 am - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\nfrom : bryce baxter 01 / 05 / 2000 12 : 00 pm\r\nto : sheri thomas / hou / ect @ ect , robert superty / hou / ect @ ect , mark\r\nfriedman / hou / ect @ ect , mary solmonson / hou / ect @ ect , bob klein / hou / ect @ ect ,\r\ngeorgeanne hodges / hou / ect @ ect , lisa csikos / hou / ect @ ect , rita wynne / hou / ect @ ect\r\ncc : inja chun / hou / ect @ ect , brent a price / hou / ect @ ect , tommy j\r\nyanowski / hou / ect @ ect , susan harrison / hou / ect @ ect , lawrence r\r\ndaze / hou / ect @ ect , pamela chambers / corp / enron @ enron , jpeeple @ columbienergy . com\r\nsubject : re : request for application report list\r\nlast month richard burchfield sent us the following list of reports that are\r\navailable from ces \' s systems . it is working on a way to secure an electronic\r\ncopy of the required reports and making them available to us online via the\r\nelectronic document management system . while ena is not liable for pre - 2000\r\nbusiness , we may need to assist with research as issues arise . in order to\r\nget the ball rolling , we need to get a list together of the reports we need .\r\nplease fill out the attached spreadsheet and list any reports that you need\r\nand return it to me by friday , 1 / 15 / 2000 . if you do not want any reports ,\r\nplease send me an email letting me know that . i have included samples of how\r\nto fill this out , and if you have any questions please give me a call .\r\nif you aren \' t sure which reports you need based on the names , please get with\r\nany ces employees you have hired or with a ces transition employee to get\r\nclarification . if you need samples of any of these reports please let my\r\nassistant , pam chambers , know and she will coordinate getting a sample report\r\nprinted for you .\r\nin addition , i will need a list of the users and their logonid \' s who will\r\nneed to have access to this data . please send that to me by the 15 th as\r\nwell .\r\nthanks , bryce\r\nrichard burchfield\r\n12 / 01 / 99 04 : 58 pm\r\nto : sheri thomas / hou / ect @ ect , robert superty / hou / ect @ ect , brent a\r\nprice / hou / ect @ ect , mark friedman / hou / ect @ ect , mary solmonson / hou / ect @ ect ,\r\ntommy j yanowski / hou / ect @ ect , bob klein / hou / ect @ ect , bryce\r\nbaxter / hou / ect @ ect , georgeanne hodges / hou / ect @ ect\r\ncc :\r\nsubject : re : request for application report list\r\nall ,\r\nbelow is attached the report list for ces .\r\nrichard\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by richard burchfield / hou / ect on 12 / 01 / 99\r\n03 : 48 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\ncdeaton @ . com on 12 / 01 / 99 01 : 25 : 37 pm\r\nto : richard burchfield / hou / ect @ ect\r\ncc : \" - * peeples , jeff \" ,\r\n\" - * licarione , linda \"\r\nsubject : re : request for application report list\r\nplease see the attached for the altra gms report listing . please forward any\r\nadditional questions relating to altra gms to linda licarione ( 713 - 693 - 2845 )\r\nor\r\njeff peeples ( 713 - 693 - 2597 ) . thanks .\r\nlinda licarione\r\n12 / 01 / 99 01 : 04 pm\r\nto : clay deaton / ces / columbiagas @ columbiagas\r\ncc :\r\nsubject : request for application report list\r\nattached is a list of 210 reports from altra gms . please note that we may not\r\nbe using all of these reports . if you need me to scale this down to those\r\ncurrently being used , i will need to do a bit of analysis . many of the base\r\nreports , those denoted in the spreadsheet with filename - location ( 1 st column )\r\n=\r\nmaster . mdb are not currently being used at ces . let me know if you have any\r\nquestions .\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by linda licarione / ces / columbiagas on\r\n12 / 01 / 99\r\n12 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\nclay deaton\r\n11 / 30 / 99 01 : 27 pm\r\nto : linda licarione / ces / columbiagas @ columbiagas\r\ncc :\r\nsubject : request for application report list\r\ncan you provide me with a complete list of gms reports ?\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by clay deaton / ces / columbiagas on 11 / 30 / 99\r\n01 : 26 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\nrburchf @ ect . enron . com on 11 / 30 / 99 10 : 36 : 11 am\r\nplease respond to rburchf @ ect . enron . com\r\nto : clay deaton / ces / columbiagas @ columbiagas\r\ncc : csulliv @ ect . enron . com , bprice @ ect . enron . com\r\nsubject : request for application report list\r\nclay ,\r\ni have had several requests from the ena business groups . now that the\r\nagreement has been finalized , for report lists from your key applications ,\r\nthose\r\nbeing , altra gms and risk works ( there may be others as people become more\r\naware ) . there will be a need for information for ena to manage contracts as we\r\ngo through he transition period . we feel this would be an easier process to\r\nwork\r\nthrough if ena knows what kind of information they can request as we go\r\nthrough\r\nthe transition .\r\nthanks , richard\r\n- gms _ reportlisting by header . xls',ham
'Subject: re : txu fuel for december\r\nhere \' s the sheet . i \' ve moved around volumes in order to keep the enron\r\ncontract whole . please call if you have any questions .\r\nthanks ,\r\nami\r\n3 - 9272\r\njoanie h ngo @ ect\r\n01 / 06 / 2000 10 : 57 am\r\nto : ami chokshi / corp / enron @ enron\r\ncc :\r\nsubject : re : txu fuel for december\r\nami - when you are done , please send me the allocation spreadsheet . thank\r\nyou .\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by joanie h ngo / hou / ect on 01 / 06 / 2000 10 : 56\r\nam - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\ndaren j farmer\r\n01 / 05 / 2000 03 : 32 pm\r\nto : joanie h ngo / hou / ect @ ect\r\ncc :\r\nsubject : re : txu fuel for december\r\nami chokshi will be sending this to you once it is finalized .\r\nd\r\njoanie h ngo\r\n01 / 05 / 2000 02 : 28 pm\r\nto : daren j farmer / hou / ect @ ect\r\ncc :\r\nsubject : txu fuel for december\r\npls . send me spreadsheet if you have it . thanks .',ham
'Subject: cox exploration\r\ndarren , we had a situation in december that we need your help to resolve .\r\ndeal # 125836 we have been purchasing gas from cox exploration on pg & e\r\nhydorcarbons systems upstream of the processing facility . this purchase\r\nagreement terminated 11 / 30 / 99 . i didn \' t path the gas on pgeh , however , i\r\nwill take responsibility for not adjusting the interconnect ticket at\r\nthompsonville . i didn \' t catch this and the deal on the hpl side appeared to\r\nbe a valid flow issue for kim vaughn . the plant continued to confirm this\r\ngas .\r\nwe have tried working through the pipeline , but they state that they will not\r\nknow anything until the 15 th . can you contact the producer and ask them to\r\nreverify this with the pipeline ? i would like kim to be able to zero confirm\r\nand send back to pops so volume management will not allocate up to the\r\nproducer level .\r\nalso i just realized that we have a committed reserve purchase agreement at\r\nthe same meter with tribo production . should there have been an expected\r\nvolume in this deal ? is it possible that cox exploration sold their interest\r\nin this well to tribo . it may turn out that we should have flowed the gas\r\nafter all .',ham
'Subject: ces - duke en field services\r\nthe purchase and sale is at felmont # 1 ( point sale ) . we will be terminating\r\nthe agreement . feb should be the last month .',ham
'Subject: storage\r\ni updated the storage ticket for feb and created an injection ticket , sitara\r\n# 159640 .\r\nlet me know if you have any questions .\r\ndave',ham
'Subject: re : ua 4\r\nwhat is the status on this meter ?\r\nhoward b camp\r\n01 / 28 / 2000 07 : 17 am\r\nto : susan d trevino / hou / ect @ ect\r\ncc :\r\nsubject : ua 4\r\nsusan ,\r\nhere is the note that i sent daren . i never have scheduled a park and ride\r\nand have no idea on how this should be set up .\r\nhc\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by howard b camp / hou / ect on 01 / 28 / 2000 07 : 16\r\nam - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\nhoward b camp\r\n01 / 27 / 2000 10 : 17 am\r\nto : daren j farmer / hou / ect @ ect\r\ncc : charlotte hawkins / hou / ect @ ect , anita luong / hou / ect @ ect , howard b\r\ncamp / hou / ect @ ect , rhonda robinson / hou / ect @ ect\r\nsubject : ua 4\r\ndaren ,\r\njust a quick note to follow up on ua 4 issues .\r\nfor desk to desk deals , we are keeping the entry on co 89 since there is not\r\na co 16 contract with co 16 and attaching an ect transport contract to the\r\nbackscreen .\r\non park and ride deals , i am under the impression that the park and ride deal\r\nwould be booked to an 089 contract and cleared either intra month or in a\r\nsubsequent month .\r\nif this is true , was it done by reversing out or offsetting the previous co\r\n89 entry . i am not sure whether an ect transport should be attached . i hope\r\nyou have some insight on this issue .\r\nlet me know\r\nhc',ham
'Subject: nominations on hpl purchase and sale - 2 / 5 through 2 / 7\r\ndue to low volumes flowing from fuels cotton valley ,\r\nwe nominate 32 , 000 mmbtu / d at the hpl / eastrans interconnect\r\nfor the referenced period . we are estimating that will redeliver 7 , 000\r\nmmbtu / d\r\nfrom fuels cotton valley and 25 , 000 mmbtu / d into pg & e .\r\ni talked to darren and brian on the ability to swing additional volume to pg\r\n& e\r\nduring a day ,\r\nand they said pg & e won \' t accept daily changes at all ! ! ! so , if that is the\r\ncase ,\r\nwe will have to find an alternate method to swing the volume . based on our\r\nagreement ,\r\nwe have the ability to give them volume into other pipelines at the hub .\r\nmaybe\r\nwe\r\ncan swing on them . in the short term , however , we are going to have to make\r\ndue\r\nwith adjusting\r\nthe hpl volume to equal redelivered volume as best we can .\r\nsorry for the lateness of this email . i will get daily nom changes into you\r\nearlier next week .\r\nthanks for working with us .',ham
'Subject: 5 th changes @ duke and air liquide\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 02 / 04 / 2000\r\n11 : 23 am - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\ntroy _ a _ benoit @ reliantenergy . com on 02 / 04 / 2000 11 : 06 : 27 am\r\nto : ami chokshi / corp / enron @ enron\r\ncc :\r\nsubject : 5 th changes @ duke and air liquide\r\n( see attached file : egmnom - feb . xls )\r\n- egmnom - feb . xls',ham
'Subject: february buyback deals\r\njust in case you want to have around . . . . . . . . . . . .\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by kenneth seaman / hou / ect on 02 / 07 / 2000\r\n10 : 16 am - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\nkenneth seaman 02 / 07 / 2000 10 : 17 am\r\nto : julie meyers / hou / ect @ ect , robert e lloyd / hou / ect @ ect\r\ncc :\r\nsubject : february buyback deals\r\nattached is my list for feb . please let me know if you see anything out of\r\nthe ordinary .\r\nken',ham
'Subject: union gas - doehrman # 1\r\ntom ,\r\nthe doehrman # 1 well came on line for first delivery on monday , 2 / 7 / 00 at\r\n11 : 45 am . the contract calls for intra - month pricing for deliveries that\r\ncommence after the first day of the month . please create a one month\r\nbaseload firm deal ticket for the remaining days of the month based on the\r\nfollowing information :\r\ncounterparty meter volume price\r\nunion gas operating company 9825 500 mmbtu / d 100 \% gas daily less $ 0 . 10\r\nsusan will create a committed reserves firm ticket for the remaining term of\r\nthe deal once our geologists have gathered enough data to forecast the\r\nreserves of this well ; at such time , we will request that this ticket be\r\nzeroed out .\r\nif you have any questions or concerns , please give me a call .\r\nthanks ,\r\nvlt\r\nx 3 - 6353',ham
'Subject: meter 5961 , dunagan , j . a . # 1\r\ndaren :\r\ni have been informed that this meter has been disconnected . the 215 has a\r\nnom of 74 / day at this meter . the first day i have a - 0 - flow is 2 / 12 / 00 .\r\nlet me know if you have other information .\r\nthanks !\r\ncharlotte',ham
'Subject: hpl noms for february 15 , 2000\r\n( see attached file : hplo 215 . xls )\r\n- hplo 215 . xls',ham
'Subject: nomination - 2 - 23 - 2000\r\nplease incerease deliveries to eastrans to 65 , 000 mmbtu / d eff 2 / 23 / 2000 .\r\n7 , 000 will come from fuels cotton valley .\r\nmaintain sale of 500 mmbtu / d .\r\nincrease pg & e nom to 58 , 000 mmbtu / d .\r\nthe agreement provides for up to 60 , 000 mmbtu at our option .\r\nbrian riley needs to approve the increase to 65 , 000 mmbtu / d .',ham
'Subject: see attached memo\r\nplease read the following attachment :\r\nthank you ,\r\nkathy benedict',ham
'Subject: eol killed deals\r\nover the past several weeks , we have seen an increase in the number of\r\n\" killed \" or modified eol transactions . please remind each of your\r\nrespective groups that this is not an option . once a customer \" clicks \" on a\r\ndeal , we have a valid , binding contract . we lose our audit trail , and we\r\ncan potentially expose ourselves from a legal standpoint . i talked to mark\r\ntaylor about this today , and the best option is for legal to prepare a\r\ntermination agreement when we agree to let a customer out of a deal . we\r\n( product control ) should be notified immediately if someone is requesting to\r\nchange an eol deal . you can call either myself , jennifer denny ( x 35824 ) ,\r\nfrank davis ( x 37235 ) , or dale neuner ( 39746 ) .\r\ncall me if you have any questions .\r\nsheri\r\nx 36557',ham
'Subject: 98 - 0432\r\ncan you please extend sitara deal # 156657 for 3 / 1 / 00 , if the deal will\r\nallow ? it was transported on the 215 k , which was the only one out there for\r\n2 / 00 .\r\nit spilled over into march on day 1 for . 423 dec .\r\nthanks\r\n- jackie -\r\n3 - 9497',ham
'Subject: oasis jan 00\r\nstacy ,\r\noasis only show a delivery of 330 , 000 at point 1427 . we have two deals\r\npathed for this volume : deal 158220 lower colorado - 300 , 000 ( mtrl 472 ) , and\r\ndeal 157279 30 , 000 ( mtr 1472 ) . my issue is that the original lower colorado\r\ndeal was for 310 , 000 . the additional 10000 is pathed on mtr 1516 . do i cut\r\ndeal 157279 by 10000 to make up to lower colorado ? if so , could you please\r\npath it at point 1427 so that i will tie back to oasis . please let me know\r\nas soon as you decide what to do . thanks\r\nthu',ham
'Subject: fwd : wazzzup 2 nd version\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by tori kuykendall / hou / ect on 03 / 03 / 2000\r\n12 : 32 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\nfrom : garrett tripp 03 / 03 / 2000 11 : 28 am\r\nto : mike grigsby / hou / ect @ ect , tori kuykendall / hou / ect @ ect , frank\r\nermis / hou / ect @ ect , matthew lenhart / hou / ect @ ect\r\ncc :\r\nsubject : fwd : wazzzup 2 nd version\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by garrett tripp / pdx / ect on 03 / 03 / 2000 11 : 23\r\nam - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\ncarla hoffman\r\n03 / 03 / 2000 08 : 05 am\r\nto : cara semperger / pdx / ect @ ect , garrett tripp , phillip platter / hou / ect @ ect ,\r\njulie sarnowski / hou / ect @ ect\r\ncc :\r\nsubject : fwd : wazzzup 2 nd version\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by carla hoffman / pdx / ect on 03 / 03 / 2000 08 : 08\r\nam - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\nenron capital 3 mar 2000 15 : 46 : 45 - 0000\r\nreceived : from smtp - 165 . 97 . 10 . 16 by mail 2 . hayboonet . com with microsoft\r\nsmtpsvc ( 5 . 5 . 1774 . 114 . 11 ) ; fri , 3 mar 2000 09 : 39 : 23 - 0600\r\nreceived : from mail . haynesboone . com ( [ 165 . 97 . 9 . 8 ] ) by 165 . 97 . 10 . 16 ( norton\r\nantivirus for internet email gateways 1 . 0 ) ; fri , 03 mar 2000 15 : 55 : 32 0000\r\n( gmt )\r\nreceived : from dallas - message _ server by mail . haynesboone . com with\r\nnovell _ groupwise ; fri , 03 mar 2000 09 : 41 : 20 - 0600\r\nmessage - id :\r\nx - mailer : novell groupwise internet agent 5 . 5 . 2 . 1\r\ndate : fri , 03 mar 2000 09 : 40 : 31 - 0600\r\nfrom : \" david mcinturff \"\r\nto : \" scot crilly \" ,\r\n, , ,\r\n, , ,\r\nsubject : wazzzup 2 nd version\r\nmime - version : 1 . 0\r\ncontent - type : multipart / mixed ; boundary = \" = _ 025 b 8830 . 1 f 7 el 420 \"\r\nreturn - path : mcintud @ haynesboone . com\r\ncontent - length : 1722030\r\ntoo damn funny\r\n- waz . avi',ham
'Subject: fw : monday evening \' s gas flow\r\ndaren ,\r\nthe below memo was rec \' d on today from my contact at lyondell ( john allen )\r\nreferencing meter 98 - 1063 \' s gas pressure problems on last night ( 3 - 7 - 00 ) .\r\ni thought that this might be some useful information to you .\r\nthanks\r\n- jackie -\r\n3 - 9497\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by jackie young / hou / ect on 03 / 07 / 2000 11 : 15\r\nam - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\n\" allen , john s . \" on 03 / 07 / 2000 10 : 56 : 35 am\r\nto : \" \' young , jackie \' \"\r\ncc :\r\nsubject : fw : monday evening \' s gas flow\r\n> - - - - - original message - - - - -\r\n> from : john allen [ smtp : j _ s _ allen 77 @ hotmail . com ]\r\n> sent : monday , march 06 , 2000 9 : 53 pm\r\n> to : roger . maake @ lyondell - citgo . com\r\n> cc : john . allen @ lyondell - citgo . com ; tony . cucinotta @ lyondell - citgo . com ;\r\n> gmason @ noram . com ; david . rasco @ lyondell - citgo . com ;\r\n> greg . wilson @ lyondell - citgo . com\r\n> subject : monday evening \' s gas flow\r\n>\r\n> the natural gas pressure issue was attributed to 2 hpl values . the north\r\n> one was not operative and the south one had leaking bellows .\r\n> it was determined that an alternator supply for pressure contract was not\r\n> readily available , being that it was after normal work hours .\r\n>\r\n> th hpl technician determined that he would be able to make repairs while\r\n> the\r\n> line was operative , and that it would not be necessary to request a\r\n> shut - in\r\n> condition . it would just take longer for him to make the repairs . the\r\n> technician was able to control the pressure through the south valve while\r\n> repairing the north valve .\r\n>\r\n> hpl agreed to the utilities department \' s request that the technician was\r\n> not\r\n> to leave lcr \' s facility this evening until such time as both valves were\r\n> operative .\r\n>\r\n>',ham
'Subject: fw : complaint department\r\nthis is another fyi from my contact @ lyondell ( 98 - 1063 ) . there is another\r\nmessage from him to follow this one .\r\nthanks\r\n- jackie -\r\n3 - 9497\r\n- - - - - - - - - - - - - - - - - - - - - - forwarded by jackie young / hou / ect on 03 / 08 / 2000 08 : 45\r\nam - - - - - - - - - - - - - - - - - - - - - - - - - - -\r\n\" allen , john s . \" on 03 / 07 / 2000 05 : 58 : 25 pm\r\nto : \" wilson , gregory w . \"\r\ncc : \" maake , roger w . \" , \" \' nachlinger , ken \' \"\r\n, \" \' young , jackie \' \" , \" \' mason ,\r\ngreg \' \" , \" cucinotta , anthony j . \"\r\nsubject : fw : complaint department\r\nwhat a mess .\r\n> - - - - - original message - - - - -\r\n> from : allen , john s .\r\n> sent : tuesday , march 07 , 2000 5 : 50 pm\r\n> to : graham , travis e .\r\n> subject : complaint department\r\n>\r\n> i hear from midcon this afternoon via voice mail . i understand that they\r\n> were not to happy that they had relief values blowing out being that they\r\n> were coming in with a fixed baseload of 28 for today , and lcr had not\r\n> notified that our present requirement couldn \' t handle that much . i\r\n> understand from utilities this afternoon that the baseload with midcon was\r\n> cut due to lcr \' s limited requirements . i was also notified this evening\r\n> that the planned maintenance on hpl has been extended through tomorrow\r\n> with midcon again scheduled to come in with the 28 baseload .\r\n>\r\n> thanks ,\r\n> john s . allen\r\n> lyondell - citgo refining lp\r\n> 713 - 321 - 5384\r\n> john . allen @ lyondell - citgo . com\r\n>\r\n>\r\n>',ham
